family,policy,status,grid_id,K,B,Emax,budget_name,rho,floor_multiplier,lambda_slack,beta,lambda_cvar,solver,solver_status,termination_condition,message,wall_time_sec,best_bound,objective_value,mip_gap,num_variables,num_binary_variables,num_constraints
A1,A1 K=1 B=0.000420126,optimal,,1,0.00042012553854166664,,B_low,,,,,,appsi_highs,ok,optimal,,3.754307750001317,0.6166666666666667,0.6166666666666657,1.6203254953988797e-15,7893,7893,8102
A1,A1 K=1 B=0.000840251,optimal,,1,0.0008402510770833333,,B_mid,,,,,,appsi_highs,ok,optimal,,3.374525709019508,0.6166666666666667,0.6166666666666657,1.6203254953988797e-15,7893,7893,8102
A1,A1 K=1 B=0.00126038,optimal,,1,0.0012603766156249999,,B_high,,,,,,appsi_highs,ok,optimal,,3.777841457980685,0.6166666666666667,0.6166666666666657,1.6203254953988797e-15,7893,7893,8102
A1,A1 K=2 B=0.000420126,optimal,,2,0.00042012553854166664,,B_low,,,,,,appsi_highs,ok,optimal,,16.593028333998518,0.8125,0.8125,0.0,7893,7893,8102
A1,A1 K=2 B=0.000840251,feasible,,2,0.0008402510770833333,,B_mid,,,,,,appsi_highs,aborted,maxTimeLimit,,20.736754582991125,0.8208333333333333,0.85,0.03431372549019609,7893,7893,8102
A1,A1 K=2 B=0.00126038,optimal,,2,0.0012603766156249999,,B_high,,,,,,appsi_highs,ok,optimal,,10.851184249971993,0.8333333333333334,0.8333333333333334,0.0,7893,7893,8102
A1,A1 K=3 B=0.000420126,feasible,,3,0.00042012553854166664,,B_low,,,,,,appsi_highs,aborted,maxTimeLimit,,20.357087666983716,0.8708333333333333,0.8875,0.01877934272300463,7893,7893,8102
A1,A1 K=3 B=0.000840251,feasible,,3,0.0008402510770833333,,B_mid,,,,,,appsi_highs,aborted,maxTimeLimit,,21.101340374996653,0.8833333333333332,0.9,0.018518518518518698,7893,7893,8102
A1,A1 K=3 B=0.00126038,feasible,,3,0.0012603766156249999,,B_high,,,,,,appsi_highs,aborted,maxTimeLimit,,20.276856084004976,0.8875,0.9083333333333333,0.0229357798165138,7893,7893,8102
A1,A1 K=5 B=0.000420126,optimal,,5,0.00042012553854166664,,B_low,,,,,,appsi_highs,ok,optimal,,3.214037500001723,0.9291666666666667,0.9291666666666667,0.0,7893,7893,8102
A1,A1 K=5 B=0.000840251,optimal,,5,0.0008402510770833333,,B_mid,,,,,,appsi_highs,ok,optimal,,10.412519749981584,0.9333333333333341,0.9333333333333341,0.0,7893,7893,8102
A1,A1 K=5 B=0.00126038,feasible,,5,0.0012603766156249999,,B_high,,,,,,appsi_highs,aborted,maxTimeLimit,,20.268477000005078,0.933333333333334,0.9458333333333333,0.013215859030836254,7893,7893,8102
A2,A2 K=5 B=0.000840251 Emax=0.75,feasible,,5,0.0008402510770833333,0.75,B_mid,,,,,,appsi_highs,aborted,maxTimeLimit,,20.421446082997136,0.9249999999999999,0.942882568144265,0.01896584871588052,9573,9573,11463
A3,A3 K=5 B=0.000840251 Emax=0.75,feasible,K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75,5,0.0008402510770833333,0.75,B_mid,0.75,0.85,0.1,,,appsi_highs,aborted,maxTimeLimit,,20.79607720801141,0.9174999999999973,0.9245133480095045,0.007585988914716077,9578,9573,11484
