policy,stage,model,usage_count,usage_share,policy_label,grid_id
A0 alpha=1,single,Qwen2.5-Coder-7B-Instruct,9.0,0.0375,A0 alpha=1,
A0 alpha=1,single,OpenThinker3-7B,7.0,0.029166666666666667,A0 alpha=1,
A0 alpha=1,single,cogito-v1-preview-llama-8B,6.0,0.025,A0 alpha=1,
A0 alpha=1,single,qwen3-235b-a22b-2507,6.0,0.025,A0 alpha=1,
A0 alpha=1,single,Llama-3.1-8B-Instruct,3.0,0.0125,A0 alpha=1,
A0 alpha=1,single,deepseek-v3.1-terminus,3.0,0.0125,A0 alpha=1,
A0 alpha=1,single,qwen3-235b-a22b-thinking-2507,3.0,0.0125,A0 alpha=1,
A0 alpha=1,single,NVIDIA-Nemotron-Nano-9B-v2,2.0,0.008333333333333333,A0 alpha=1,
A0 alpha=1,single,glm-4-9b-chat,2.0,0.008333333333333333,A0 alpha=1,
A0 alpha=1,single,gpt-5-chat,2.0,0.008333333333333333,A0 alpha=1,
A0 alpha=1,single,internlm3-8b-instruct,2.0,0.008333333333333333,A0 alpha=1,
A0 alpha=1,single,DeepSeek-R1-0528-Qwen3-8B,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,DeepSeek-R1-Distill-Qwen-7B,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,Intern-S1-mini,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,Llama-3.1-Nemotron-Nano-8B-v1,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,Qwen3-8B,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,deepseek-v3-0324,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,gemini-2.5-flash,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,glm-4.6,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,gpt-5,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,granite-3.3-8b-instruct,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=1,single,kimi-k2-0905,1.0,0.004166666666666667,A0 alpha=1,
A0 alpha=2,single,GLM-Z1-9B-0414,140.0,0.5833333333333334,A0 alpha=2,
A0 alpha=2,single,MiniCPM4.1-8B,44.0,0.18333333333333332,A0 alpha=2,
A0 alpha=2,single,Qwen2.5-Coder-7B-Instruct,9.0,0.0375,A0 alpha=2,
A0 alpha=2,single,OpenThinker3-7B,7.0,0.029166666666666667,A0 alpha=2,
A0 alpha=2,single,cogito-v1-preview-llama-8B,6.0,0.025,A0 alpha=2,
A0 alpha=2,single,qwen3-235b-a22b-2507,6.0,0.025,A0 alpha=2,
A0 alpha=2,single,Llama-3.1-8B-Instruct,3.0,0.0125,A0 alpha=2,
A0 alpha=2,single,deepseek-v3.1-terminus,3.0,0.0125,A0 alpha=2,
A0 alpha=2,single,qwen3-235b-a22b-thinking-2507,3.0,0.0125,A0 alpha=2,
A0 alpha=2,single,NVIDIA-Nemotron-Nano-9B-v2,2.0,0.008333333333333333,A0 alpha=2,
A0 alpha=2,single,glm-4-9b-chat,2.0,0.008333333333333333,A0 alpha=2,
A0 alpha=2,single,gpt-5-chat,2.0,0.008333333333333333,A0 alpha=2,
A0 alpha=2,single,internlm3-8b-instruct,2.0,0.008333333333333333,A0 alpha=2,
A0 alpha=2,single,DeepSeek-R1-0528-Qwen3-8B,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,DeepSeek-R1-Distill-Qwen-7B,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,Intern-S1-mini,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,Llama-3.1-Nemotron-Nano-8B-v1,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,Qwen3-8B,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,deepseek-v3-0324,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,gemini-2.5-flash,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,glm-4.6,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,gpt-5,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,granite-3.3-8b-instruct,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=2,single,kimi-k2-0905,1.0,0.004166666666666667,A0 alpha=2,
A0 alpha=5,single,GLM-Z1-9B-0414,140.0,0.5833333333333334,A0 alpha=5,
A0 alpha=5,single,MiniCPM4.1-8B,44.0,0.18333333333333332,A0 alpha=5,
A0 alpha=5,single,Qwen2.5-Coder-7B-Instruct,9.0,0.0375,A0 alpha=5,
A0 alpha=5,single,OpenThinker3-7B,7.0,0.029166666666666667,A0 alpha=5,
A0 alpha=5,single,cogito-v1-preview-llama-8B,6.0,0.025,A0 alpha=5,
A0 alpha=5,single,qwen3-235b-a22b-2507,6.0,0.025,A0 alpha=5,
A0 alpha=5,single,Llama-3.1-8B-Instruct,3.0,0.0125,A0 alpha=5,
A0 alpha=5,single,deepseek-v3.1-terminus,3.0,0.0125,A0 alpha=5,
A0 alpha=5,single,qwen3-235b-a22b-thinking-2507,3.0,0.0125,A0 alpha=5,
A0 alpha=5,single,NVIDIA-Nemotron-Nano-9B-v2,2.0,0.008333333333333333,A0 alpha=5,
A0 alpha=5,single,glm-4-9b-chat,2.0,0.008333333333333333,A0 alpha=5,
A0 alpha=5,single,gpt-5-chat,2.0,0.008333333333333333,A0 alpha=5,
A0 alpha=5,single,internlm3-8b-instruct,2.0,0.008333333333333333,A0 alpha=5,
A0 alpha=5,single,DeepSeek-R1-0528-Qwen3-8B,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,DeepSeek-R1-Distill-Qwen-7B,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,Intern-S1-mini,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,Llama-3.1-Nemotron-Nano-8B-v1,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,Qwen3-8B,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,deepseek-v3-0324,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,gemini-2.5-flash,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,glm-4.6,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,gpt-5,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,granite-3.3-8b-instruct,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=5,single,kimi-k2-0905,1.0,0.004166666666666667,A0 alpha=5,
A0 alpha=10,single,GLM-Z1-9B-0414,140.0,0.5833333333333334,A0 alpha=10,
A0 alpha=10,single,MiniCPM4.1-8B,44.0,0.18333333333333332,A0 alpha=10,
A0 alpha=10,single,Qwen2.5-Coder-7B-Instruct,9.0,0.0375,A0 alpha=10,
A0 alpha=10,single,OpenThinker3-7B,7.0,0.029166666666666667,A0 alpha=10,
A0 alpha=10,single,cogito-v1-preview-llama-8B,6.0,0.025,A0 alpha=10,
A0 alpha=10,single,qwen3-235b-a22b-2507,6.0,0.025,A0 alpha=10,
A0 alpha=10,single,Llama-3.1-8B-Instruct,3.0,0.0125,A0 alpha=10,
A0 alpha=10,single,deepseek-v3.1-terminus,3.0,0.0125,A0 alpha=10,
A0 alpha=10,single,qwen3-235b-a22b-thinking-2507,3.0,0.0125,A0 alpha=10,
A0 alpha=10,single,NVIDIA-Nemotron-Nano-9B-v2,2.0,0.008333333333333333,A0 alpha=10,
A0 alpha=10,single,glm-4-9b-chat,2.0,0.008333333333333333,A0 alpha=10,
A0 alpha=10,single,gpt-5-chat,2.0,0.008333333333333333,A0 alpha=10,
A0 alpha=10,single,internlm3-8b-instruct,2.0,0.008333333333333333,A0 alpha=10,
A0 alpha=10,single,DeepSeek-R1-0528-Qwen3-8B,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,DeepSeek-R1-Distill-Qwen-7B,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,Intern-S1-mini,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,Llama-3.1-Nemotron-Nano-8B-v1,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,Qwen3-8B,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,deepseek-v3-0324,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,gemini-2.5-flash,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,glm-4.6,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,gpt-5,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,granite-3.3-8b-instruct,1.0,0.004166666666666667,A0 alpha=10,
A0 alpha=10,single,kimi-k2-0905,1.0,0.004166666666666667,A0 alpha=10,
A1 K=1 B=0.000840251,single,MiniCPM4.1-8B,240.0,1.0,A1 K=1 B=0.000840251,
A2 K=2 B=0.000840251 Emax=1,stage1,internlm3-8b-instruct,128.0,0.5333333333333333,A2 K=2 B=0.000840251 Emax=1,
A2 K=2 B=0.000840251 Emax=1,stage1,granite-3.3-8b-instruct,112.0,0.4666666666666667,A2 K=2 B=0.000840251 Emax=1,
A3|K=2|budget=B_mid|Emax=1|floor=0.75|lambda=0.1|rho=0.75,stage1,GLM-Z1-9B-0414,159.0,0.6625,A3 K=2 B=0.000840251 Emax=1,K=2|budget=B_mid|Emax=1|floor=0.75|lambda=0.1|rho=0.75
A3|K=2|budget=B_mid|Emax=1|floor=0.75|lambda=0.1|rho=0.75,stage1,gemini-2.5-flash,81.0,0.3375,A3 K=2 B=0.000840251 Emax=1,K=2|budget=B_mid|Emax=1|floor=0.75|lambda=0.1|rho=0.75
